PassportNum,ConfirmationNum,FlightNum,SeatNum,AircraftID
1,0,1,32F,68
2,1,1,1C,68
3,2,1,10C,68
4,3,1,34F,68
5,4,1,9E,68
6,5,1,33F,68
7,6,1,32C,68
8,7,1,20D,68
9,8,1,29D,68
10,9,1,34E,68
11,10,1,24D,68
12,11,1,37D,68
13,12,1,28E,68
14,13,1,9A,68
15,14,1,21C,68
16,15,1,31B,68
17,16,1,30D,68
18,17,1,25C,68
19,18,1,23C,68
20,19,1,28F,68
21,20,1,34D,68
22,21,1,11F,68
23,22,1,21D,68
24,23,1,12F,68
25,24,1,33C,68
26,25,1,10B,68
27,26,1,32E,68
28,27,1,10F,68
29,28,1,10E,68
30,29,1,30C,68
31,30,1,24B,68
32,31,1,2D,68
33,32,1,11A,68
34,33,1,25B,68
35,34,1,36D,68
36,35,1,33E,68
37,36,1,3B,68
38,37,1,8F,68
39,38,1,22C,68
40,39,1,7C,68
41,40,1,8E,68
42,41,1,32B,68
43,42,1,30B,68
44,43,1,35D,68
45,44,1,28B,68
46,45,1,27B,68
47,46,1,1B,68
48,47,1,2C,68
49,48,1,11C,68
50,49,1,1A,68
51,50,2,27B,93
52,51,2,34C,93
53,52,2,37F,93
54,53,2,12D,93
55,54,2,26A,93
56,55,2,38E,93
57,56,2,31E,93
58,57,2,29F,93
59,58,2,26D,93
60,59,2,20D,93
61,60,2,21B,93
62,61,2,29E,93
63,62,2,10E,93
64,63,2,24A,93
65,64,2,30B,93
66,65,2,28E,93
67,66,2,28C,93
68,67,2,9D,93
69,68,2,33A,93
70,69,2,23D,93
71,70,2,27A,93
72,71,2,37C,93
73,72,2,11B,93
74,73,2,7F,93
75,74,2,36F,93
76,75,2,11C,93
77,76,2,8B,93
78,77,2,10B,93
79,78,2,30D,93
80,79,2,8C,93
81,80,2,38A,93
82,81,2,28D,93
83,82,2,24C,93
84,83,2,37A,93
85,84,2,35E,93
86,85,2,20C,93
87,86,2,31A,93
88,87,2,38B,93
89,88,2,35C,93
90,89,2,9C,93
91,90,2,9F,93
92,91,2,33D,93
93,92,2,28B,93
94,93,2,1D,93
95,94,2,26D,93
96,95,2,22A,93
97,96,2,31C,93
98,97,2,26B,93
99,98,2,22E,93
100,99,2,10D,93
101,100,3,18A,21
102,101,3,8D,21
103,102,3,18F,21
104,103,3,17F,21
105,104,3,8B,21
106,105,3,12E,21
107,106,3,12A,21
108,107,3,12D,21
109,108,3,14D,21
110,109,3,4D,21
111,110,3,20D,21
112,111,3,17C,21
113,112,3,1B,21
114,113,3,18B,21
115,114,3,2C,21
116,115,3,8C,21
117,116,3,17D,21
118,117,3,7A,21
119,118,3,19B,21
120,119,3,16E,21
121,120,3,13B,21
122,121,3,21E,21
123,122,3,4F,21
124,123,3,22F,21
125,124,3,4C,21
126,125,3,19F,21
127,126,3,22C,21
128,127,3,21B,21
129,128,3,4B,21
130,129,3,1B,21
131,130,3,12F,21
132,131,3,17B,21
133,132,3,5E,21
134,133,3,9A,21
135,134,3,16A,21
136,135,3,18D,21
137,136,3,16F,21
138,137,3,7E,21
139,138,3,2A,21
140,139,3,7C,21
141,140,3,11A,21
142,141,3,20B,21
143,142,3,19A,21
144,143,3,6D,21
145,144,3,2D,21
146,145,3,8A,21
147,146,3,9C,21
148,147,3,5B,21
149,148,3,14B,21
150,149,3,10D,21
151,150,4,1C,96
152,151,4,10F,96
153,152,4,10A,96
154,153,4,38D,96
155,154,4,8F,96
156,155,4,20B,96
157,156,4,29E,96
158,157,4,34A,96
159,158,4,1A,96
160,159,4,12B,96
161,160,4,9F,96
162,161,4,31F,96
163,162,4,33D,96
164,163,4,26D,96
165,164,4,3A,96
166,165,4,7C,96
167,166,4,7D,96
168,167,4,35A,96
169,168,4,37E,96
170,169,4,35C,96
171,170,4,36A,96
172,171,4,11C,96
173,172,4,23E,96
174,173,4,31A,96
175,174,4,23B,96
176,175,4,9E,96
177,176,4,9C,96
178,177,4,36D,96
179,178,4,24B,96
180,179,4,27E,96
181,180,4,36C,96
182,181,4,31E,96
183,182,4,36B,96
184,183,4,28F,96
185,184,4,21F,96
186,185,4,37D,96
187,186,4,1D,96
188,187,4,21B,96
189,188,4,9B,96
190,189,4,27A,96
191,190,4,29C,96
192,191,4,3B,96
193,192,4,2B,96
194,193,4,11F,96
195,194,4,20B,96
196,195,4,36E,96
197,196,4,30A,96
198,197,4,29A,96
199,198,4,27B,96
200,199,4,34C,96
201,200,5,20C,61
202,201,5,33F,61
203,202,5,27F,61
204,203,5,29D,61
205,204,5,12B,61
206,205,5,28B,61
207,206,5,38D,61
208,207,5,7C,61
209,208,5,32B,61
210,209,5,28D,61
211,210,5,20A,61
212,211,5,27D,61
213,212,5,26F,61
214,213,5,20B,61
215,214,5,23A,61
216,215,5,9A,61
217,216,5,26E,61
218,217,5,7B,61
219,218,5,34B,61
220,219,5,10B,61
221,220,5,21B,61
222,221,5,21F,61
223,222,5,30C,61
224,223,5,22E,61
225,224,5,8C,61
226,225,5,12E,61
227,226,5,30B,61
228,227,5,1C,61
229,228,5,37D,61
230,229,5,11C,61
231,230,5,35E,61
232,231,5,24C,61
233,232,5,35A,61
234,233,5,21A,61
235,234,5,36F,61
236,235,5,30A,61
237,236,5,35B,61
238,237,5,30F,61
239,238,5,2D,61
240,239,5,29B,61
241,240,5,29F,61
242,241,5,23E,61
243,242,5,37E,61
244,243,5,7A,61
245,244,5,27E,61
246,245,5,22E,61
247,246,5,1D,61
248,247,5,33B,61
249,248,5,25C,61
250,249,5,25E,61
251,250,6,20F,34
252,251,6,15F,34
253,252,6,9F,34
254,253,6,16F,34
255,254,6,14D,34
256,255,6,5F,34
257,256,6,20E,34
258,257,6,8A,34
259,258,6,16D,34
260,259,6,18F,34
261,260,6,20C,34
262,261,6,11D,34
263,262,6,15E,34
264,263,6,19B,34
265,264,6,9B,34
266,265,6,9E,34
267,266,6,11F,34
268,267,6,6E,34
269,268,6,19E,34
270,269,6,4C,34
271,270,6,3E,34
272,271,6,19F,34
273,272,6,6D,34
274,273,6,16E,34
275,274,6,18D,34
276,275,6,8C,34
277,276,6,14F,34
278,277,6,3D,34
279,278,6,9C,34
280,279,6,17D,34
281,280,6,3C,34
282,281,6,2C,34
283,282,6,12D,34
284,283,6,14F,34
285,284,6,17E,34
286,285,6,15D,34
287,286,6,6A,34
288,287,6,12E,34
289,288,6,20B,34
290,289,6,22D,34
291,290,6,11C,34
292,291,6,5D,34
293,292,6,4B,34
294,293,6,22E,34
295,294,6,5B,34
296,295,6,17B,34
297,296,6,2D,34
298,297,6,12A,34
299,298,6,12F,34
300,299,6,10A,34
301,300,7,22C,33
302,301,7,17B,33
303,302,7,9A,33
304,303,7,14B,33
305,304,7,12D,33
306,305,7,2A,33
307,306,7,10C,33
308,307,7,5F,33
309,308,7,21F,33
310,309,7,17E,33
311,310,7,1C,33
312,311,7,7A,33
313,312,7,5C,33
314,313,7,12C,33
315,314,7,14D,33
316,315,7,20F,33
317,316,7,1A,33
318,317,7,4D,33
319,318,7,11C,33
320,319,7,13D,33
321,320,7,20E,33
322,321,7,15A,33
323,322,7,21E,33
324,323,7,22E,33
325,324,7,20D,33
326,325,7,13A,33
327,326,7,2B,33
328,327,7,4A,33
329,328,7,17F,33
330,329,7,4E,33
331,330,7,21C,33
332,331,7,11F,33
333,332,7,11B,33
334,333,7,11A,33
335,334,7,12F,33
336,335,7,12B,33
337,336,7,7B,33
338,337,7,18C,33
339,338,7,16C,33
340,339,7,13F,33
341,340,7,22F,33
342,341,7,17E,33
343,342,7,7E,33
344,343,7,20A,33
345,344,7,9C,33
346,345,7,11E,33
347,346,7,4B,33
348,347,7,1D,33
349,348,7,11D,33
350,349,7,19E,33
351,350,8,19C,22
352,351,8,12A,22
353,352,8,20E,22
354,353,8,2A,22
355,354,8,10C,22
356,355,8,21A,22
357,356,8,12C,22
358,357,8,10F,22
359,358,8,15E,22
360,359,8,19B,22
361,360,8,11C,22
362,361,8,13A,22
363,362,8,17F,22
364,363,8,7F,22
365,364,8,21C,22
366,365,8,18D,22
367,366,8,14B,22
368,367,8,10D,22
369,368,8,6D,22
370,369,8,8B,22
371,370,8,19E,22
372,371,8,18A,22
373,372,8,8A,22
374,373,8,7B,22
375,374,8,19F,22
376,375,8,12D,22
377,376,8,12E,22
378,377,8,14A,22
379,378,8,18E,22
380,379,8,20C,22
381,380,8,14C,22
382,381,8,15F,22
383,382,8,4D,22
384,383,8,17D,22
385,384,8,16B,22
386,385,8,4B,22
387,386,8,16F,22
388,387,8,17C,22
389,388,8,11A,22
390,389,8,2B,22
391,390,8,18C,22
392,391,8,9B,22
393,392,8,4C,22
394,393,8,12F,22
395,394,8,1D,22
396,395,8,16A,22
397,396,8,10B,22
398,397,8,5B,22
399,398,8,8C,22
400,399,8,18F,22
401,400,9,24D,87
402,401,9,9F,87
403,402,9,30C,87
404,403,9,34A,87
405,404,9,32B,87
406,405,9,7B,87
407,406,9,33C,87
408,407,9,21E,87
409,408,9,37C,87
410,409,9,21F,87
411,410,9,36B,87
412,411,9,1A,87
413,412,9,31D,87
414,413,9,34C,87
415,414,9,26C,87
416,415,9,11D,87
417,416,9,22C,87
418,417,9,35B,87
419,418,9,23F,87
420,419,9,11E,87
421,420,9,2A,87
422,421,9,24B,87
423,422,9,25F,87
424,423,9,38B,87
425,424,9,11B,87
426,425,9,26E,87
427,426,9,28E,87
428,427,9,7F,87
429,428,9,36F,87
430,429,9,29A,87
431,430,9,20A,87
432,431,9,25E,87
433,432,9,37E,87
434,433,9,25B,87
435,434,9,20F,87
436,435,9,36C,87
437,436,9,37D,87
438,437,9,10F,87
439,438,9,34E,87
440,439,9,1B,87
441,440,9,27D,87
442,441,9,9D,87
443,442,9,7A,87
444,443,9,33D,87
445,444,9,22B,87
446,445,9,29F,87
447,446,9,1C,87
448,447,9,7B,87
449,448,9,32B,87
450,449,9,10E,87
451,450,10,25A,89
452,451,10,36A,89
453,452,10,27C,89
454,453,10,7A,89
455,454,10,38F,89
456,455,10,30C,89
457,456,10,9D,89
458,457,10,31A,89
459,458,10,34B,89
460,459,10,38E,89
461,460,10,34C,89
462,461,10,23E,89
463,462,10,30B,89
464,463,10,35B,89
465,464,10,35E,89
466,465,10,8A,89
467,466,10,28A,89
468,467,10,1D,89
469,468,10,10D,89
470,469,10,2A,89
471,470,10,33D,89
472,471,10,23C,89
473,472,10,33C,89
474,473,10,23B,89
475,474,10,35A,89
476,475,10,29C,89
477,476,10,31B,89
478,477,10,7E,89
479,478,10,31E,89
480,479,10,32C,89
481,480,10,20C,89
482,481,10,34E,89
483,482,10,37D,89
484,483,10,32D,89
485,484,10,28F,89
486,485,10,2C,89
487,486,10,36E,89
488,487,10,12F,89
489,488,10,28E,89
490,489,10,26B,89
491,490,10,8B,89
492,491,10,32B,89
493,492,10,24E,89
494,493,10,21A,89
495,494,10,37E,89
496,495,10,34D,89
497,496,10,7C,89
498,497,10,11C,89
499,498,10,36C,89
500,499,10,3D,89
501,500,11,19A,37
502,501,11,8B,37
503,502,11,13A,37
504,503,11,9A,37
505,504,11,14B,37
506,505,11,1B,37
507,506,11,19F,37
508,507,11,20D,37
509,508,11,11D,37
510,509,11,14D,37
511,510,11,22D,37
512,511,11,7A,37
513,512,11,13B,37
514,513,11,22A,37
515,514,11,17D,37
516,515,11,11E,37
517,516,11,20B,37
518,517,11,20A,37
519,518,11,17E,37
520,519,11,2C,37
1,520,11,3A,37
2,521,11,8C,37
3,522,11,17C,37
4,523,11,7F,37
5,524,11,20C,37
6,525,11,6E,37
7,526,11,21A,37
8,527,11,5A,37
9,528,11,17A,37
10,529,11,22C,37
11,530,11,3C,37
12,531,11,10C,37
13,532,11,15C,37
14,533,11,2D,37
15,534,11,13D,37
16,535,11,14F,37
17,536,11,16C,37
18,537,11,17B,37
19,538,11,7B,37
20,539,11,18F,37
21,540,11,6D,37
22,541,11,20F,37
23,542,11,1C,37
24,543,11,2A,37
25,544,11,22B,37
26,545,11,16A,37
27,546,11,4F,37
28,547,11,4E,37
29,548,11,7E,37
30,549,11,14A,37
31,550,12,10E,17
32,551,12,4A,17
33,552,12,4D,17
34,553,12,18E,17
35,554,12,16D,17
36,555,12,14F,17
37,556,12,19A,17
38,557,12,12F,17
39,558,12,10C,17
40,559,12,8B,17
41,560,12,18B,17
42,561,12,11A,17
43,562,12,14E,17
44,563,12,22C,17
45,564,12,14D,17
46,565,12,20C,17
47,566,12,10D,17
48,567,12,21D,17
49,568,12,11E,17
50,569,12,13C,17
51,570,12,2B,17
52,571,12,3D,17
53,572,12,4F,17
54,573,12,17D,17
55,574,12,20F,17
56,575,12,19E,17
57,576,12,18D,17
58,577,12,16A,17
59,578,12,17A,17
60,579,12,3F,17
61,580,12,22A,17
62,581,12,13A,17
63,582,12,19F,17
64,583,12,3A,17
65,584,12,8C,17
66,585,12,22E,17
67,586,12,11C,17
68,587,12,19C,17
69,588,12,6A,17
70,589,12,12C,17
71,590,12,20B,17
72,591,12,2C,17
73,592,12,21A,17
74,593,12,6D,17
75,594,12,21D,17
76,595,12,18F,17
77,596,12,15C,17
78,597,12,15A,17
79,598,12,1C,17
80,599,12,12D,17
81,600,13,8D,9
82,601,13,15F,9
83,602,13,18E,9
84,603,13,3A,9
85,604,13,4E,9
86,605,13,15A,9
87,606,13,9F,9
88,607,13,3B,9
89,608,13,9B,9
90,609,13,7C,9
91,610,13,20E,9
92,611,13,13A,9
93,612,13,9D,9
94,613,13,19C,9
95,614,13,16D,9
96,615,13,16F,9
97,616,13,3F,9
98,617,13,15D,9
99,618,13,17F,9
100,619,13,18E,9
101,620,13,21B,9
102,621,13,8C,9
103,622,13,15B,9
104,623,13,19D,9
105,624,13,10B,9
106,625,13,2A,9
107,626,13,14E,9
108,627,13,17B,9
109,628,13,7A,9
110,629,13,13D,9
111,630,13,5B,9
112,631,13,19B,9
113,632,13,10A,9
114,633,13,13B,9
115,634,13,14D,9
116,635,13,5D,9
117,636,13,19E,9
118,637,13,19F,9
119,638,13,6F,9
120,639,13,20A,9
121,640,13,10C,9
122,641,13,11B,9
123,642,13,4F,9
124,643,13,17D,9
125,644,13,11F,9
126,645,13,4D,9
127,646,13,15C,9
128,647,13,18B,9
129,648,13,4A,9
